調査地点番号	調査地点都道府県名（原表記）	調査地点名（原表記）	調査地点都道府県名	調査地点名	json_result	estimated_long	estimated_lat	level	fullname	note	mesh_lat	mesh_long	mesh_lat_jgd	mesh_long_jgd	メッシュ北西端との距離
0275.36	鹿児島県	大島郡天城町瀬滝	鹿児島県	大島郡天城町瀬滝	"{""matched"": ""鹿児島県大島郡天城町瀬滝"", ""candidates"": [{""id"": 259405286, ""name"": ""大字瀬滝"", ""x"": 128.91139221191406, ""y"": 27.779260635375977, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0006000/postcode:8917623"", ""fullname"": [""鹿児島県"", ""大島郡"", ""天城町"", ""大字瀬滝""]}]}"	128.911392211914	27.779260635376	5	鹿児島県 大島郡 天城町 大字瀬滝		274700	1285400	274713.6906	1285352.73759	1.58339497733818
0275.97	鹿児島県	大島郡伊仙村伊仙小字中伊仙	鹿児島県	大島郡伊仙村伊仙小字中伊仙	"{""matched"": ""鹿児島県大島郡伊仙村"", ""candidates"": [{""id"": 259183641, ""name"": ""伊仙村"", ""x"": 128.93759155273438, ""y"": 27.673582077026367, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:46B0110001"", ""fullname"": [""鹿児島県"", ""大島郡"", ""伊仙村""]}]}"	128.937591552734	27.6735820770264	3	鹿児島県 大島郡 伊仙村		274100	1285530	274113.72169	1285522.7545	2.08385179976573
0276.50	鹿児島県	大島郡徳之島町大字亀徳小字里晴	鹿児島県	大島郡徳之島町大字亀徳小字里晴	"{""matched"": ""鹿児島県大島郡徳之島町大字亀徳"", ""candidates"": [{""id"": 259447782, ""name"": ""亀徳"", ""x"": 129.01551818847656, ""y"": 27.748294830322266, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0006000/postcode:8917102"", ""fullname"": [""鹿児島県"", ""大島郡"", ""徳之島町"", ""亀徳""]}]}"	129.015518188477	27.7482948303223	5	鹿児島県 大島郡 徳之島町 亀徳		274500	1290000	274513.70996	1285952.71891	1.83173935587057
0294.66	鹿児島県	大島郡和泊町大字和泊	鹿児島県	大島郡和泊町大字和泊	"{""matched"": ""鹿児島県大島郡和泊町大字和泊"", ""candidates"": [{""id"": 259243018, ""name"": ""大字和泊"", ""x"": 128.65127563476562, ""y"": 27.392166137695312, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0020000/postcode:8919112"", ""fullname"": [""鹿児島県"", ""大島郡"", ""和泊町"", ""大字和泊""]}]}"	128.651275634766	27.3921661376953	5	鹿児島県 大島郡 和泊町 大字和泊		272400	1283900	272413.80859	1283852.87036	1.3368211191487
0294.93	鹿児島県	大島郡知名町大字瀬利覚	鹿児島県	大島郡知名町大字瀬利覚	"{""matched"": ""鹿児島県大島郡知名町大字瀬利覚"", ""candidates"": [{""id"": 259622631, ""name"": ""大字瀬利覚"", ""x"": 128.57997131347656, ""y"": 27.338611602783203, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0014000/postcode:8919213"", ""fullname"": [""鹿児島県"", ""大島郡"", ""知名町"", ""大字瀬利覚""]}]}"	128.579971313477	27.3386116027832	5	鹿児島県 大島郡 知名町 大字瀬利覚		272100	1283430	272113.82422	1283422.89746	1.82695884965298
0340.00	鹿児島県	大島郡喜界町早町	鹿児島県	大島郡喜界町早町	"{""matched"": ""鹿児島県大島郡喜界町早町"", ""candidates"": [{""id"": 259328554, ""name"": ""大字早町"", ""x"": 129.99603271484375, ""y"": 28.33785629272461, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0021000/postcode:8916152"", ""fullname"": [""鹿児島県"", ""大島郡"", ""喜界町"", ""大字早町""]}]}"	129.996032714844	28.3378562927246	5	鹿児島県 大島郡 喜界町 大字早町		282000	1300000	282013.64856	1295952.41484	0.199419320599404
1213.76	鹿児島県	大島郡与論村大字茶花	鹿児島県	大島郡与論村大字茶花	"{""matched"": ""鹿児島県大島郡与論村"", ""candidates"": [{""id"": 259147412, ""name"": ""与論村"", ""x"": 128.4148406982422, ""y"": 27.04853057861328, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:46B0110017"", ""fullname"": [""鹿児島県"", ""大島郡"", ""与論村""]}]}"	128.414840698242	27.0485305786133	3	鹿児島県 大島郡 与論村		270300	1282400	270313.912	1282352.978	1.76544904193558
1148.59	沖縄県	島尻郡粟国村字東	沖縄県	島尻郡粟国村字東	"{""matched"": ""沖縄県島尻郡粟国村字東"", ""candidates"": [{""id"": 266214726, ""name"": ""字東"", ""x"": 127.23139190673828, ""y"": 26.58986473083496, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0003000/postcode:9013702"", ""fullname"": [""沖縄県"", ""島尻郡"", ""粟国村"", ""字東""]}]}"	127.231391906738	26.589864730835	5	沖縄県 島尻郡 粟国村 字東		263500	1271330	263513.9379	1271323.39299	0.869892655057171
1156.89	沖縄県	島尻郡具志川村（久米島）字仲地	沖縄県	島尻郡具志川村（久米島）字仲地	"{""matched"": ""沖縄県島尻郡具志川村"", ""candidates"": [{""id"": 266148243, ""name"": ""具志川村"", ""x"": 126.80502319335938, ""y"": 26.340669631958008, ""level"": 3, ""priority"": 0, ""note"": ""ref:沖縄県島尻郡久米島町"", ""fullname"": [""沖縄県"", ""島尻郡"", ""具志川村""]}]}"	126.805023193359	26.340669631958	3	沖縄県 島尻郡 具志川村		262200	1264330	262213.96746	1264323.56603	8.80232755370936
1167.01	沖縄県	島尻郡仲里村字比嘉	沖縄県	島尻郡仲里村字比嘉	"{""matched"": ""沖縄県島尻郡仲里村字比"", ""candidates"": [{""id"": 266080329, ""name"": ""字比嘉"", ""x"": 126.79566192626953, ""y"": 26.340316772460938, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0000110/postcode:9013108"", ""fullname"": [""沖縄県"", ""島尻郡"", ""久米島町"", ""字比嘉""]}, {""id"": 266084336, ""name"": ""比嘉"", ""x"": 126.80094146728516, ""y"": 26.338150024414062, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000110/postcode:9013108"", ""fullname"": [""沖縄県"", ""島尻郡"", ""久米島町"", ""比嘉""]}]}"	126.79566192627	26.3403167724609	5	沖縄県 島尻郡 久米島町 字比嘉		262000	1264630	262013.98459	1264623.55609	2.26374133930872
1169.84	沖縄県	島尻郡渡嘉敷村字渡嘉敷	沖縄県	島尻郡渡嘉敷村字渡嘉敷	"{""matched"": ""沖縄県島尻郡渡嘉敷村字渡嘉敷"", ""candidates"": [{""id"": 266208950, ""name"": ""字渡嘉敷"", ""x"": 127.36128234863281, ""y"": 26.20429801940918, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0001000/postcode:9013501"", ""fullname"": [""沖縄県"", ""島尻郡"", ""渡嘉敷村"", ""字渡嘉敷""]}]}"	127.361282348633	26.2042980194092	5	沖縄県 島尻郡 渡嘉敷村 字渡嘉敷		261200	1272100	261214.08186	1272053.40184	1.30916726041836
1211.69	沖縄県	島尻郡伊平屋村字田名	沖縄県	島尻郡伊平屋村字田名	"{""matched"": ""沖縄県島尻郡伊平屋村字田名"", ""candidates"": [{""id"": 266118206, ""name"": ""字田名"", ""x"": 127.98758697509766, ""y"": 27.06804847717285, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0001000/postcode:9050701"", ""fullname"": [""沖縄県"", ""島尻郡"", ""伊平屋村"", ""字田名""]}]}"	127.987586975098	27.0680484771729	5	沖縄県 島尻郡 伊平屋村 字田名		270400	1275830	270413.84449	1275823.11379	1.46159561370256
1221.47	沖縄県	島尻郡伊是名村字勢理客	沖縄県	島尻郡伊是名村字勢理客	"{""matched"": ""沖縄県島尻郡伊是名村字勢理客"", ""candidates"": [{""id"": 266136390, ""name"": ""字勢理客"", ""x"": 127.9241943359375, ""y"": 26.93811798095703, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0004000/postcode:9050605"", ""fullname"": [""沖縄県"", ""島尻郡"", ""伊是名村"", ""字勢理客""]}]}"	127.924194335938	26.938117980957	5	沖縄県 島尻郡 伊是名村 字勢理客		265600	1275530	265613.89198	1275523.14721	0.14980502643654
1223.91	沖縄県	国頭郡国頭村字奥	沖縄県	国頭郡国頭村字奥	"{""matched"": ""沖縄県国頭郡国頭村字奥"", ""candidates"": [{""id"": 265360162, ""name"": ""字奥"", ""x"": 128.28024291992188, ""y"": 26.827621459960938, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0010000/postcode:9051501"", ""fullname"": [""沖縄県"", ""国頭郡"", ""国頭村"", ""字奥""]}]}"	128.280242919922	26.8276214599609	5	沖縄県 国頭郡 国頭村 字奥		265100	1281630	265113.95875	1281623.06252	3.00494795051011
1231.72	沖縄県	国頭郡伊江村字東江上	沖縄県	国頭郡伊江村字東江上	"{""matched"": ""沖縄県国頭郡伊江村字東江上"", ""candidates"": [{""id"": 265325712, ""name"": ""字東江上"", ""x"": 127.79741668701172, ""y"": 26.727022171020508, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0000136/postcode:9050501"", ""fullname"": [""沖縄県"", ""国頭郡"", ""伊江村"", ""字東江上""]}, {""id"": 265334769, ""name"": ""東江上"", ""x"": 127.80706024169922, ""y"": 26.716381072998047, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000136/postcode:9050501"", ""fullname"": [""沖縄県"", ""国頭郡"", ""伊江村"", ""東江上""]}]}"	127.797416687012	26.7270221710205	5	沖縄県 国頭郡 伊江村 字東江上		264300	1274800	264313.95253	1274753.21292	0.723848432483126
1231.88	沖縄県	国頭郡今帰仁村字与那嶺	沖縄県	国頭郡今帰仁村字与那嶺	"{""matched"": ""沖縄県国頭郡今帰仁村字与那嶺"", ""candidates"": [{""id"": 265268871, ""name"": ""字与那嶺"", ""x"": 127.94701385498047, ""y"": 26.68976593017578, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0018000/postcode:9050425"", ""fullname"": [""沖縄県"", ""国頭郡"", ""今帰仁村"", ""字与那嶺""]}]}"	127.94701385498	26.6897659301758	5	沖縄県 国頭郡 今帰仁村 字与那嶺		264200	1275700	264213.97368	1275653.17081	1.57331318361253
1232.29	沖縄県	国頭郡国頭村字辺野喜	沖縄県	国頭郡国頭村字辺野喜	"{""matched"": ""沖縄県国頭郡国頭村字辺野喜"", ""candidates"": [{""id"": 265395596, ""name"": ""字辺野喜"", ""x"": 128.2647247314453, ""y"": 26.78858184814453, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0007000/postcode:9051424"", ""fullname"": [""沖縄県"", ""国頭郡"", ""国頭村"", ""字辺野喜""]}]}"	128.264724731445	26.7885818481445	5	沖縄県 国頭郡 国頭村 字辺野喜		264800	1281330	264813.97027	1281323.08254	4.4699328061412
1232.75	沖縄県	国頭郡大宜味村字喜如嘉	沖縄県	国頭郡大宜味村字喜如嘉	"{""matched"": ""沖縄県国頭郡大宜味村字喜如嘉"", ""candidates"": [{""id"": 265403080, ""name"": ""字喜如嘉"", ""x"": 128.15553283691406, ""y"": 26.69061851501465, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0000108/postcode:9051303"", ""fullname"": [""沖縄県"", ""国頭郡"", ""大宜味村"", ""字喜如嘉""]}, {""id"": 265407044, ""name"": ""喜如嘉"", ""x"": 128.14598083496094, ""y"": 26.705360412597656, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000108/postcode:9051303"", ""fullname"": [""沖縄県"", ""国頭郡"", ""大宜味村"", ""喜如嘉""]}]}"	128.155532836914	26.6906185150147	5	沖縄県 国頭郡 大宜味村 字喜如嘉		264300	1280730	264313.99	1280723.122	4.6330401818601
1233.61	沖縄県	国頭郡国頭村字安波	沖縄県	国頭郡国頭村字安波	"{""matched"": ""沖縄県国頭郡国頭村字安波"", ""candidates"": [{""id"": 265370103, ""name"": ""字安波"", ""x"": 128.2642822265625, ""y"": 26.709047317504883, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0000102/postcode:9051504"", ""fullname"": [""沖縄県"", ""国頭郡"", ""国頭村"", ""字安波""]}, {""id"": 265373746, ""name"": ""安波"", ""x"": 128.2853240966797, ""y"": 26.716228485107422, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000102/postcode:9051504"", ""fullname"": [""沖縄県"", ""国頭郡"", ""国頭村"", ""安波""]}]}"	128.264282226563	26.7090473175049	5	沖縄県 国頭郡 国頭村 字安波		264400	1281630	264413.99624	1281623.07671	3.25227928179923
1241.05	沖縄県	国頭郡本部町字渡久地5班	沖縄県	国頭郡本部町字渡久地5班	"{""matched"": ""沖縄県国頭郡本部町字渡久地5"", ""candidates"": [{""id"": 265570689, ""name"": ""5番地"", ""x"": 127.8958511352539, ""y"": 26.660123825073242, ""level"": 7, ""priority"": 3, ""note"": """", ""fullname"": [""沖縄県"", ""国頭郡"", ""本部町"", ""字渡久地"", ""5番地""]}]}"	127.895851135254	26.6601238250732	7	沖縄県 国頭郡 本部町 字渡久地 5番地		264000	1275230	264013.97647	1275223.19697	2.53972029949242
1241.49	沖縄県	国頭郡名護町字城一班	沖縄県	国頭郡名護町字城一班	"{""matched"": ""沖縄県国頭郡名護町"", ""candidates"": [{""id"": 265354312, ""name"": ""名護町"", ""x"": 127.97747039794922, ""y"": 26.591554641723633, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47B0030006"", ""fullname"": [""沖縄県"", ""国頭郡"", ""名護町""]}]}"	127.977470397949	26.5915546417236	3	沖縄県 国頭郡 名護町		263600	1275830	263614.01187	1275823.17646	1.43890982664246
1241.96	沖縄県	国頭郡恩納村字名嘉真	沖縄県	国頭郡恩納村字名嘉真	"{""matched"": ""沖縄県国頭郡恩納村字名嘉真"", ""candidates"": [{""id"": 265465249, ""name"": ""字名嘉真"", ""x"": 127.92450714111328, ""y"": 26.515274047851562, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0006000/postcode:9040401"", ""fullname"": [""沖縄県"", ""国頭郡"", ""恩納村"", ""字名嘉真""]}]}"	127.924507141113	26.5152740478516	5	沖縄県 国頭郡 恩納村 字名嘉真		263100	1275400	263114.036	1275353.198	2.69147334139414
1242.00	沖縄県	国頭郡屋我地村字饒平名	沖縄県	国頭郡屋我地村字饒平名	"{""matched"": ""沖縄県国頭郡屋我地村"", ""candidates"": [{""id"": 265458332, ""name"": ""屋我地村"", ""x"": 128.0106964111328, ""y"": 26.656936645507812, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47B0030001"", ""fullname"": [""沖縄県"", ""国頭郡"", ""屋我地村""]}]}"	128.010696411133	26.6569366455078	3	沖縄県 国頭郡 屋我地村		264000	1280000	264013.9941	1275953.16195	1.96452171429733
1242.22	沖縄県	国頭郡羽地村字源河	沖縄県	国頭郡羽地村字源河	"{""matched"": ""沖縄県国頭郡羽地村"", ""candidates"": [{""id"": 265603602, ""name"": ""羽地村"", ""x"": 128.02389526367188, ""y"": 26.623153686523438, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47304A1968/jisx0402:47304"", ""fullname"": [""沖縄県"", ""国頭郡"", ""羽地村""]}]}"	128.023895263672	26.6231536865234	3	沖縄県 国頭郡 羽地村		263800	1280300	263814.01112	1280253.15347	2.86982570881362
1242.26	沖縄県	国頭郡東村字平良	沖縄県	国頭郡東村字平良	"{""matched"": ""沖縄県国頭郡東村字平良"", ""candidates"": [{""id"": 265593695, ""name"": ""字平良"", ""x"": 128.151611328125, ""y"": 26.63094139099121, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0006000/postcode:9051204"", ""fullname"": [""沖縄県"", ""国頭郡"", ""東村"", ""字平良""]}, {""id"": 265597714, ""name"": ""平良"", ""x"": 128.1511993408203, ""y"": 26.631452560424805, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000113/postcode:9051204"", ""fullname"": [""沖縄県"", ""国頭郡"", ""東村"", ""平良""]}]}"	128.151611328125	26.6309413909912	5	沖縄県 国頭郡 東村 字平良		263800	1280900	263814.02111	1280853.13146	0.781683065576345
1242.72	沖縄県	国頭郡久志村字瀬嵩	沖縄県	国頭郡久志村字瀬嵩	"{""matched"": ""沖縄県国頭郡久志村"", ""candidates"": [{""id"": 265266388, ""name"": ""久志村"", ""x"": 128.0496063232422, ""y"": 26.54956817626953, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47312A1968/jisx0402:47312"", ""fullname"": [""沖縄県"", ""国頭郡"", ""久志村""]}]}"	128.049606323242	26.5495681762695	3	沖縄県 国頭郡 久志村		263300	1280300	263314.03767	1280253.16365	0.5043431725953
1250.59	沖縄県	中頭郡読谷村字波平	沖縄県	中頭郡読谷村字波平	"{""matched"": ""沖縄県中頭郡読谷村字波平"", ""candidates"": [{""id"": 264955851, ""name"": ""字波平"", ""x"": 127.72547149658203, ""y"": 26.401140213012695, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0019000/postcode:9040322"", ""fullname"": [""沖縄県"", ""中頭郡"", ""読谷村"", ""字波平""]}]}"	127.725471496582	26.4011402130127	5	沖縄県 中頭郡 読谷村 字波平		262500	1274330	262514.04897	1274323.27066	2.17294064989217
1251.04	沖縄県	国頭郡恩納村字恩納	沖縄県	国頭郡恩納村字恩納	"{""matched"": ""沖縄県国頭郡恩納村字恩納"", ""candidates"": [{""id"": 265485286, ""name"": ""字恩納"", ""x"": 127.85839080810547, ""y"": 26.48538589477539, ""level"": 5, ""priority"": 2, ""note"": ""aza_id:0003000/postcode:9040411"", ""fullname"": [""沖縄県"", ""国頭郡"", ""恩納村"", ""字恩納""]}, {""id"": 265496455, ""name"": ""恩納"", ""x"": 127.85224151611328, ""y"": 26.498903274536133, ""level"": 6, ""priority"": 9, ""note"": ""aza_id:0000106/postcode:9040411"", ""fullname"": [""沖縄県"", ""国頭郡"", ""恩納村"", ""恩納""]}]}"	127.858390808105	26.4853858947754	5	沖縄県 国頭郡 恩納村 字恩納		263000	1275100	263014.03296	1275053.22569	2.29833144722906
1251.27	沖縄県	国頭郡金武村字金武	沖縄県	国頭郡金武村字金武	"{""matched"": ""沖縄県国頭郡金武村"", ""candidates"": [{""id"": 265603603, ""name"": ""金武村"", ""x"": 127.92601013183594, ""y"": 26.45613670349121, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47314A1968/jisx0402:47314"", ""fullname"": [""沖縄県"", ""国頭郡"", ""金武村""]}]}"	127.926010131836	26.4561367034912	3	沖縄県 国頭郡 金武村		262800	1275530	262814.04982	1275523.20864	1.63053927519495
1251.73	沖縄県	中頭郡具志川村字兼箇段	沖縄県	中頭郡具志川村字兼箇段	"{""matched"": ""沖縄県中頭郡具志川村"", ""candidates"": [{""id"": 264792482, ""name"": ""具志川村"", ""x"": 127.85748291015625, ""y"": 26.379150390625, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47B0040003"", ""fullname"": [""沖縄県"", ""中頭郡"", ""具志川村""]}]}"	127.857482910156	26.379150390625	3	沖縄県 中頭郡 具志川村		262300	1274930	262314.068	1274923.24877	3.53879779187909
1251.98	沖縄県	中頭郡与那城村字平安座	沖縄県	中頭郡与那城村字平安座	"{""matched"": ""沖縄県中頭郡与那城村"", ""candidates"": [{""id"": 264753846, ""name"": ""与那城村"", ""x"": 127.904296875, ""y"": 26.328222274780273, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47322A1968/jisx0402:47322"", ""fullname"": [""沖縄県"", ""中頭郡"", ""与那城村""]}]}"	127.904296875	26.3282222747803	3	沖縄県 中頭郡 与那城村		262100	1275700	262114.09259	1275653.21546	5.21803322126088
1260.78	沖縄県	那覇市寒川町1丁目	沖縄県	那覇市寒川町1丁目	"{""matched"": ""沖縄県那覇市"", ""candidates"": [{""id"": 266779596, ""name"": ""那覇市"", ""x"": 127.67921447753906, ""y"": 26.212295532226562, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47201A1968/jisx0402:47201/postcode:9000000"", ""fullname"": [""沖縄県"", ""那覇市""]}]}"	127.679214477539	26.2122955322266	3	沖縄県 那覇市		261300	1274200	261314.11265	1274153.30431	2.10103769186785
1260.87	沖縄県	島尻郡小祿村字小祿	沖縄県	島尻郡小祿村字小祿	"{""matched"": ""沖縄県島尻郡小祿村"", ""candidates"": [{""id"": 266198661, ""name"": ""小禄村"", ""x"": 127.66847229003906, ""y"": 26.187524795532227, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47B0050007"", ""fullname"": [""沖縄県"", ""島尻郡"", ""小禄村""]}]}"	127.668472290039	26.1875247955322	3	沖縄県 島尻郡 小禄村		261200	1274030	261214.11718	1274023.31612	1.88184740447171
1261.01	沖縄県	中頭郡北谷村字吉原	沖縄県	中頭郡北谷村字吉原	"{""matched"": ""沖縄県中頭郡北谷村"", ""candidates"": [{""id"": 264824674, ""name"": ""北谷村"", ""x"": 127.76390075683594, ""y"": 26.320068359375, ""level"": 3, ""priority"": 1, ""note"": ""geoshape_city_id:47326A1968/jisx0402:47326"", ""fullname"": [""沖縄県"", ""中頭郡"", ""北谷村""]}]}"	127.763900756836	26.320068359375	3	沖縄県 中頭郡 北谷村		262000	1274630	262014.08204	1274623.26565	2.11986385203192
