7157 7951 125.24826350 24.72084419
7149 7850 125.18329402 24.82816632
7205 7864 125.28425656 24.83858131
7312 7992 125.45003005 24.72865131
7273 7907 125.38409561 24.78485187
6790 7814 124.69643157 24.75456439
6778 7884 124.69878138 24.65603916
6525 7853 124.32652601 24.60419429
6329 7928 124.11900383 24.44589099
6331 7951 124.12248662 24.43323750
6344 7942 124.13695555 24.44348940
6276 8024 124.08939763 24.32533324
6212 7990 123.98082810 24.33872125
6207 8072 124.00868226 24.23822724
6121 7852 123.82056261 24.47177773
6099 7885 123.77507542 24.43557433
5987 7959 123.66348126 24.30993884
6113 8029 123.87627583 24.25556124
6189 7957 123.93958966 24.36254985
5553 7707 122.99614225 24.45620399
