7157.0	7970.9	125.24826350	24.72084419
7149.4	7869.9	125.18329402	24.82816632
7205.3	7884.0	125.28425656	24.83858131
7311.8	8012.2	125.45003005	24.72865131
7273.1	7927.1	125.38409561	24.78485187
6791.0	7833.2	124.69643157	24.75456439
6778.7	7903.2	124.69878138	24.65603916
6526.3	7871.6	124.32652601	24.60419429
6330.2	7946.2	124.11900383	24.44589099
6332.1	7969.2	124.12248662	24.43323750
6345.1	7960.2	124.13695555	24.44348940
6276.9	8042.1	124.08939763	24.32533324
6213.1	8007.9	123.98082810	24.33872125
6207.7	8089.9	124.00868226	24.23822724
6122.8	7869.6	123.82056261	24.47177773
6100.6	7902.6	123.77507542	24.43557433
5988.4	7976.3	123.66348126	24.30993884
6114.0	8046.7	123.87627583	24.25556124
6190.2	7974.8	123.93958966	24.36254985
5555.4	7723.0	122.99614225	24.45620399
