9600.2	6904.0	128.40085168	27.05175936
9630.1	6906.1	128.43261701	27.06732677
9617.0	6953.0	128.44109794	27.02173097
9777.4	6679.9	128.53437978	27.40442740
9902.8	6683.5	128.71189440	27.43703504
10045.9	6489.3	128.88234722	27.72298911
10181.3	6483.9	129.03575593	27.77061940
10175.7	6383.9	128.96727756	27.89235944
10124.0	6373.7	128.90078811	27.89196849
10374.9	6344.8	129.25953161	28.00942138
10381.9	6105.8	129.19782166	28.29421817
10680.8	6046.9	129.61941827	28.47403091
10712.6	6057.0	129.65405782	28.46363747
10540.7	6216.4	129.47285087	28.21302471
10934.1	6193.6	130.02025658	28.37818706
10852.2	6256.4	129.94538499	28.27532638
9379.3	6823.0	128.02131150	27.09321773
9292.4	6883.5	127.93987533	27.00541532
9274.3	6908.4	127.94035659	26.95592869
9482.2	7026.3	128.26419860	26.87423531
9193.8	7087.9	127.88277401	26.71044457
9011.6	7267.8	127.71672755	26.43846000
9137.7	7425.2	127.91875951	26.29689287
8925.7	7546.0	127.67453636	26.08039061
8690.7	7369.0	127.30435894	26.23065783
8716.6	7403.1	127.35769382	26.18943476
8356.0	7130.8	126.77716656	26.39118702
8315.9	7150.6	126.71223777	26.36746998
8356.7	7203.7	126.80991061	26.29224353
8728.8	7083.6	127.23168266	26.58840723
