5499 4629 134.99718120 35.66978732
5079 5892 134.99723743 34.00331075
4657 7154 134.99728921 32.33683005
3525 5334 132.49745834 34.00325685
3972 4085 132.49740660 35.66973113
5480 6470 135.82701046 33.46837823
5088 5980 135.06988254 33.89004373
5155 5672 135.00913802 34.28210817
5257 5427 135.04245783 34.63081608
4811 5314 134.34453651 34.56013567
4884 5617 134.59443496 34.23232538
4251 5363 133.57510590 34.25944478
3953 5327 133.09709513 34.16809387
3629 5458 132.71237988 33.89855377
3525 6396 133.00830374 32.73443104
4362 6257 134.16536237 33.27556402
4867 5956 134.72749297 33.83078913
3981 4305 132.63647373 35.42515171
4450 4344 133.30080983 35.56611471
4601 3822 133.26534310 36.26474845
4446 5289 133.78681419 34.44154738
3266 5361 132.14054863 33.84633853
3189 6032 132.38455499 33.02371974
