6474.4	208.5	141.03413369	45.45697732
6794.1	313.9	141.64544059	45.44429936
7093.9	699.1	142.34163743	45.11747933
7646.7	1596.0	143.67976597	44.20461488
8593.3	1710.1	145.33012657	44.34305735
8407.3	2346.8	145.30257209	43.55911388
8676.6	2531.1	145.80877016	43.38399309
7974.8	2734.0	144.77037630	42.93633678
5698.6	2584.4	140.94331289	42.34620965
5735.5	3023.9	141.17857116	41.81051077
5056.3	3161.4	140.19429926	41.41280000
4882.2	2401.9	139.55225896	42.24169706
5615.0	1733.0	140.35555296	43.33036304
6375.1	1519.3	141.54824401	43.86037904
6926.3	3281.1	143.23677898	41.94361284
