6396.9	248.2	141.03413369	45.45697732
6716.6	353.2	141.64544059	45.44429936
7017.8	737.6	142.34163743	45.11747933
7573.6	1633.3	143.67976597	44.20461488
8519.0	1743.8	145.33012657	44.34305735
8333.4	2381.6	145.30257209	43.55911388
8602.3	2564.4	145.80877016	43.38399309
7903.6	2768.4	144.77037630	42.93633678
5630.7	2620.9	140.94331289	42.34620965
5668.3	3060.2	141.17857116	41.81051077
4989.6	3198.0	140.19429926	41.41280000
4814.1	2439.2	139.55225896	42.24169706
5544.7	1770.9	140.35555296	43.33036304
6303.4	1557.8	141.54824401	43.86037904
6859.3	3316.7	143.23677898	41.94361284
