5504.0	4641.1	134.99718120	35.66978732
5084.7	5904.4	134.99723743	34.00331075
4664.2	7166.8	134.99728921	32.33683005
3527.5	5346.9	132.49745834	34.00325685
3977.2	4097.8	132.49740660	35.66973113
5489.3	6481.9	135.82701046	33.46837823
5094.1	5992.4	135.06988254	33.89004373
5160.3	5684.4	135.00913802	34.28210817
5261.9	5439.3	135.04245783	34.63081608
4814.5	5326.7	134.34453651	34.56013567
4888.1	5629.6	134.59443496	34.23232538
4253.3	5376.0	133.57510590	34.25944478
3955.2	5340.0	133.09709513	34.16809387
3631.3	5470.9	132.71237988	33.89855377
3528.3	6409.2	133.00830374	32.73443104
4365.5	6270.0	134.16536237	33.27556402
4871.9	5968.6	134.72749297	33.83078913
3985.4	4318.0	132.63647373	35.42515171
4454.4	4356.8	133.30080983	35.56611471
4607.8	3834.3	133.26534310	36.26474845
4448.6	5301.9	133.78681419	34.44154738
3268.9	5373.9	132.14054863	33.84633853
3192.2	6045.0	132.38455499	33.02371974
