6453 218 141.03413369 45.45697732
6772 323 141.64544059 45.44429936
7072 708 142.34163743 45.11747933
7625 1605 143.67976597 44.20461488
8568 1718 145.33012657 44.34305735
8382 2355 145.30257209 43.55911388
8650 2539 145.80877016 43.38399309
7952 2743 144.77037630 42.93633678
5687 2597 140.94331289 42.34620965
5725 3037 141.17857116 41.81051077
5048 3176 140.19429926 41.41280000
4872 2416 139.55225896 42.24169706
5601 1745 140.35555296 43.33036304
6358 1530 141.54824401 43.86037904
6911 3293 143.23677898 41.94361284
